,Questions,References,Responses,Node_0,Node_1,Score_0,Score_1
42,证券公司需要了解投资者的哪些信息？,证券公司应当了解投资者的基本信息、财产状况、金融资产状况、投资知识和经验、专业能力、交易需求、风险偏好、以往交易合规等情况。证券公司为法人、非法人组织开户的，还应当按照规定了解其业务性质、股权及控制权结构，了解受益所有人信息。投资者为金融产品的，证券公司还应当按照规定了解产品结构、产品期限、收益特征，以及委托人、投资顾问、受益所有人等信息。,证券公司需要了解投资者的基本信息、财产状况、金融资产状况、投资知识和经验、专业能力、交易需求、风险偏好、以往交易合规等情况。如果投资者是法人或非法人组织，证券公司还需要了解其业务性质、股权及控制权结构，以及受益所有人信息。如果投资者是金融产品，证券公司还需要了解产品结构、产品期限、收益特征，以及委托人、投资顾问、受益所有人等信息。,"证券公司应当妥善保管投资者身份资料、证券交易、财产状况等信息，采取有效措施保证投资者信息安全。证券公司及其从业人员不得有以下行为：
（一）违规查询、复制、保存投资者信息；
（二）超出正常业务范围使用投资者信息；
（三）利用投资者信息牟取不正当利益；
（四）违规泄露投资者信息；
（五）以出售或者其他方式将投资者信息非法提供给他人；
（六）其他有损投资者信息安全的行为。","证券公司应当了解投资者的基本信息、财产状况、金融资产状况、投资知识和经验、专业能力、交易需求、风险偏好、以往交易合规等情况。证券公司为法人、非法人组织开户的，还应当按照规定了解其业务性质、股权及控制权结构，了解受益所有人信息。投资者为金融产品的，证券公司还应当按照规定了解产品结构、产品期限、收益特征，以及委托人、投资顾问、受益所有人等信息。
投资者应当如实向证券公司提供上述信息，金融产品管理人还应当提供相关金融产品的审批或者备案信息。投资者、金融产品管理人未如实提供上述信息的，应承担相应的法律责任。",0.7313456437006736,0.7313273381090024
43,发现投资者交易行为异常怎么办？,证券公司发现投资者存在非实名使用账户、不适合继续参与相关交易、资金使用与交易行为异常等情况的，或者拒绝配合证券公司工作的，应当及时采取相应的管理措施，必要时根据相关规定及证券交易委托代理协议的约定限制、暂停、终止提供证券交易服务，并按照规定履行报告义务。,证券公司应当核实并留存证据，按照规定及时向证券交易场所报告。证券交易场所要求协助开展异常交易管理工作的，证券公司应当积极配合。此外，证券公司还应当建立健全异常交易和操作监控制度，采取技术手段对投资者账户进行有效监控，发现异常情况时应立即查明原因并按照规定处理。,证券公司发现异常交易线索的，应当核实并留存证据，按照规定及时向证券交易场所报告。证券交易场所要求协助开展异常交易管理工作的，证券公司应当积极配合。,证券公司应当建立健全异常交易和操作监控制度，采取技术手段，对证券经纪人所招揽和服务客户的账户进行有效监控，发现异常情况的，立即查明原因并按照规定处理。,0.7815131482803475,0.7686048313791255
44,什么是专业投资者？,"符合下列条件之一的是专业投资者： 

 （一）经有关金融监管部门批准设立的金融机构，包括证券公司、期货公司、基金管理公司及其子公司、商业银行、保险公司、信托公司、财务公司等；经行业协会备案或者登记的证券公司子公司、期货公司子公司、私募基金管理人。 

 （二）上述机构面向投资者发行的理财产品，包括但不限于证券公司资产管理产品、基金管理公司及其子公司产品、期货公司资产管理产品、银行理财产品、保险产品、信托产品、经行业协会备案的私募基金。 

 （三）社会保障基金、企业年金等养老基金，慈善基金等社会公益基金，合格境外机构投资者（QFII）、人民币合格境外机构投资者（RQFII）。 

 （四）同时符合下列条件的法人或者其他组织： 

 1.最近1年末净资产不低于2000万元； 

 2.最近1年末金融资产不低于1000万元； 

 3.具有2年以上证券、基金、期货、黄金、外汇等投资经历。 

 （五）同时符合下列条件的自然人： 

 1.金融资产不低于500万元，或者最近3年个人年均收入不低于50万元； 

 2.具有2年以上证券、基金、期货、黄金、外汇等投资经历，或者具有2年以上金融产品设计、投资、风险管理及相关工作经历，或者属于本条第（一）项规定的专业投资者的高级管理人员、获得职业资格认证的从事金融相关业务的注册会计师和律师。",专业投资者是根据财产状况、金融资产状况、投资知识和经验、专业能力等因素进行分类的投资者。他们通常具有较高的投资知识和经验，以及专业能力，可以进行更复杂和高风险的投资活动。专业投资者的标准由国务院证券监督管理机构规定。,"根据财产状况、金融资产状况、投资知识和经验、专业能力等因素，投资者可以分为普通投资者和专业投资者。专业投资者的标准由国务院证券监督管理机构规定。
普通投资者与证券公司发生纠纷的，证券公司应当证明其行为符合法律、行政法规以及国务院证券监督管理机构的规定，不存在误导、欺诈等情形。证券公司不能证明的，应当承担相应的赔偿责任。",经营机构可以根据专业投资者的业务资格、投资实力、投资经历等因素，对专业投资者进行细化分类和管理。,0.6768201569621399,0.6766697907114009
45,可以向投资者销售与其风险承受能力不相符的产品吗？,"看情况。
经营机构告知投资者不适合购买相关产品或者接受相关服务后，投资者主动要求购买风险等级高于其风险承受能力的产品或者接受相关服务的，经营机构在确认其不属于风险承受能力最低类别的投资者后，应当就产品或者服务风险高于其承受能力进行特别的书面风险警示，投资者仍坚持购买的，可以向其销售相关产品或者提供相关服务。",不可以向投资者销售与其风险承受能力不相符的产品。,"禁止经营机构进行下列销售产品或者提供服务的活动：
（一）向不符合准入要求的投资者销售产品或者提供服务；
（二）向投资者就不确定事项提供确定性的判断，或者告知投资者有可能使其误认为具有确定性的意见；
（三）向普通投资者主动推介风险等级高于其风险承受能力的产品或者服务；
（四）向普通投资者主动推介不符合其投资目标的产品或者服务；
（五）向风险承受能力最低类别的投资者销售或者提供风险等级高于其风险承受能力的产品或者服务；
（六）其他违背适当性要求，损害投资者合法权益的行为。",经营机构告知投资者不适合购买相关产品或者接受相关服务后，投资者主动要求购买风险等级高于其风险承受能力的产品或者接受相关服务的，经营机构在确认其不属于风险承受能力最低类别的投资者后，应当就产品或者服务风险高于其承受能力进行特别的书面风险警示，投资者仍坚持购买的，可以向其销售相关产品或者提供相关服务。,0.728551935855114,0.7239760261065384
46,向普通投资者销售产品前需要告知哪些信息？,"经营机构向普通投资者销售产品或者提供服务前，应当告知下列信息： 

 （一）可能直接导致本金亏损的事项； 

 （二）可能直接导致超过原始本金损失的事项； 

 （三）因经营机构的业务或者财产状况变化，可能导致本金或者原始本金亏损的事项； 

 （四）因经营机构的业务或者财产状况变化，影响客户判断的重要事由； 

 （五）限制销售对象权利行使期限或者可解除合同期限等全部限制内容； 

 （六）本办法第二十九条规定的适当性匹配意见。","向普通投资者销售产品前需要告知以下信息：
1. 可能直接导致本金亏损的事项；
2. 可能直接导致超过原始本金损失的事项；
3. 因经营机构的业务或者财产状况变化，可能导致本金或者原始本金亏损的事项；
4. 因经营机构的业务或者财产状况变化，影响客户判断的重要事由；
5. 限制销售对象权利行使期限或者可解除合同期限等全部限制内容；
6. 本办法第二十九条规定的适当性匹配意见。","经营机构向普通投资者销售产品或者提供服务前，应当告知下列信息：
（一）可能直接导致本金亏损的事项；
（二）可能直接导致超过原始本金损失的事项；
（三）因经营机构的业务或者财产状况变化，可能导致本金或者原始本金亏损的事项；
（四）因经营机构的业务或者财产状况变化，影响客户判断的重要事由；
（五）限制销售对象权利行使期限或者可解除合同期限等全部限制内容；
（六）本办法第二十九条规定的适当性匹配意见。",经营机构向普通投资者销售高风险产品或者提供相关服务，应当履行特别的注意义务，包括制定专门的工作程序，追加了解相关信息，告知特别的风险点，给予普通投资者更多的考虑时间，或者增加回访频次等。,0.7525253827057892,0.7460315572573842
47,向投资者出售产品时的匹配方案需要保存多少年？,经营机构应当按照相关规定妥善保存其履行适当性义务的相关信息资料，防止泄露或者被不当利用，接受中国证监会及其派出机构和自律组织的检查。对匹配方案、告知警示资料、录音录像资料、自查报告等的保存期限不得少于20年。,匹配方案需要保存不少于20年。,经营机构应当按照相关规定妥善保存其履行适当性义务的相关信息资料，防止泄露或者被不当利用，接受中国证监会及其派出机构和自律组织的检查。对匹配方案、告知警示资料、录音录像资料、自查报告等的保存期限不得少于20年。,"经营机构向普通投资者销售产品或者提供服务前，应当告知下列信息：
（一）可能直接导致本金亏损的事项；
（二）可能直接导致超过原始本金损失的事项；
（三）因经营机构的业务或者财产状况变化，可能导致本金或者原始本金亏损的事项；
（四）因经营机构的业务或者财产状况变化，影响客户判断的重要事由；
（五）限制销售对象权利行使期限或者可解除合同期限等全部限制内容；
（六）本办法第二十九条规定的适当性匹配意见。",0.4626617243186426,0.45320242521458093
48,销售产品时需要了解投资者的哪些信息？,"经营机构向投资者销售产品或者提供服务时，应当了解投资者的下列信息： 

 （一）自然人的姓名、住址、职业、年龄、联系方式，法人或者其他组织的名称、注册地址、办公地址、性质、资质及经营范围等基本信息； 

 （二）收入来源和数额、资产、债务等财务状况； 

 （三）投资相关的学习、工作经历及投资经验； 

 （四）投资期限、品种、期望收益等投资目标； 

 （五）风险偏好及可承受的损失； 

 （六）诚信记录； 

 （七）实际控制投资者的自然人和交易的实际受益人； 

 （八）法律法规、自律规则规定的投资者准入要求相关信息； 

 （九）其他必要信息。","经营机构向投资者销售产品或者提供服务时，需要了解投资者的以下信息：
- 自然人的姓名、住址、职业、年龄、联系方式，法人或者其他组织的名称、注册地址、办公地址、性质、资质及经营范围等基本信息；
- 收入来源和数额、资产、债务等财务状况；
- 投资相关的学习、工作经历及投资经验；
- 投资期限、品种、期望收益等投资目标；
- 风险偏好及可承受的损失；
- 诚信记录；
- 实际控制投资者的自然人和交易的实际受益人；
- 法律法规、自律规则规定的投资者准入要求相关信息；
- 其他必要信息。","经营机构向投资者销售产品或者提供服务时，应当了解投资者的下列信息：
（一）自然人的姓名、住址、职业、年龄、联系方式，法人或者其他组织的名称、注册地址、办公地址、性质、资质及经营范围等基本信息；
（二）收入来源和数额、资产、债务等财务状况；
（三）投资相关的学习、工作经历及投资经验；
（四）投资期限、品种、期望收益等投资目标；
（五）风险偏好及可承受的损失；
（六）诚信记录；
（七）实际控制投资者的自然人和交易的实际受益人；
（八）法律法规、自律规则规定的投资者准入要求相关信息；
（九）其他必要信息。","经营机构向普通投资者销售产品或者提供服务前，应当告知下列信息：
（一）可能直接导致本金亏损的事项；
（二）可能直接导致超过原始本金损失的事项；
（三）因经营机构的业务或者财产状况变化，可能导致本金或者原始本金亏损的事项；
（四）因经营机构的业务或者财产状况变化，影响客户判断的重要事由；
（五）限制销售对象权利行使期限或者可解除合同期限等全部限制内容；
（六）本办法第二十九条规定的适当性匹配意见。",0.7263527825885912,0.7024323236966745
49,证券从业人员可以向投资者返还佣金吗？,"不可以。
证券公司及其从业人员从事证券经纪业务营销活动，应当向投资者介绍证券交易基本知识，充分揭示投资风险，不得有下列行为： 

 （一）诱导无投资意愿或者不具备相应风险承受能力的投资者开立账户、参与证券交易活动； 

 （二）提供、传播虚假或者误导投资者的信息； 

 （三）直接或者变相向投资者返还佣金、赠送礼品礼券或者提供其他非证券业务性质的服务； 

 （四）采用诋毁其他证券公司等不正当竞争方式招揽投资者； 

 （五）对投资者证券买卖的收益或者赔偿证券买卖的损失作出承诺； 

 （六）与投资者约定分享投资收益或者分担投资损失； 

 （七）违规委托证券经纪人以外的个人或者机构进行投资者招揽、服务活动； 

 （八）损害投资者合法权益或者扰乱市场秩序的其他行为。","No, securities practitioners are not allowed to directly or indirectly return commissions to investors.","禁止证券公司及其从业人员从事下列损害客户利益的行为：
（一）违背客户的委托为其买卖证券；
（二）不在规定时间内向客户提供交易的确认文件；
（三）未经客户的委托，擅自为客户买卖证券，或者假借客户的名义买卖证券；
（四）为牟取佣金收入，诱使客户进行不必要的证券买卖；
（五）其他违背客户真实意思表示，损害客户利益的行为。","证券公司及其从业人员从事证券经纪业务营销活动，应当向投资者介绍证券交易基本知识，充分揭示投资风险，不得有下列行为：
（一）诱导无投资意愿或者不具备相应风险承受能力的投资者开立账户、参与证券交易活动；
（二）提供、传播虚假或者误导投资者的信息；
（三）直接或者变相向投资者返还佣金、赠送礼品礼券或者提供其他非证券业务性质的服务；
（四）采用诋毁其他证券公司等不正当竞争方式招揽投资者；
（五）对投资者证券买卖的收益或者赔偿证券买卖的损失作出承诺；
（六）与投资者约定分享投资收益或者分担投资损失；
（七）违规委托证券经纪人以外的个人或者机构进行投资者招揽、服务活动；
（八）损害投资者合法权益或者扰乱市场秩序的其他行为。",0.7331550044379069,0.7308221305864415
50,投资者身份证过期了，也没在规定期限内更新身份证信息怎么办？,投资者未按要求在合理期限内变更且没有提出合理理由的，证券公司应当根据相关规定及证券交易委托代理协议的约定采取限制、暂停、终止提供证券交易服务等措施。,证券公司应当根据相关规定及证券交易委托代理协议的约定采取限制、暂停、终止提供证券交易服务等措施。,"投资者根据本办法第十一条规定提供的相关信息发生变更的，应及时告知证券公司。
证券公司应持续关注投资者基本信息、身份证明文件有效期等情况，发现需要变更的，应要求投资者及时办理变更手续。
投资者未按要求在合理期限内变更且没有提出合理理由的，证券公司应当根据相关规定及证券交易委托代理协议的约定采取限制、暂停、终止提供证券交易服务等措施。","证券公司应当采取必要措施，对机构投资者、金融资产超过一定金额的个人投资者强化身份识别。上述金额标准由中国证券业协会确定。
证券公司发现投资者信息存疑的，应当要求投资者补充提供其他证明材料；无法核实投资者真实身份或者其他可能影响开户、交易合规性的重要信息，或者核实后发现不符合中国证券业协会、中国结算、证券交易场所有关规定的，应当拒绝为投资者开立账户、开通交易权限或者提供交易服务。
证券公司使用其他金融机构采集的投资者身份信息的，投资者身份识别义务及相应的责任不因信赖其他金融机构提供的信息而免除。",0.7895480821979204,0.776179442791045
51,拟任证券公司高管的人员需要符合什么条件？,"拟任证券基金经营机构董事、监事和高级管理人员的人员，应当符合下列基本条件： 

 （一）正直诚实，品行良好； 

 （二）熟悉证券基金法律法规和中国证监会的规定； 

 （三）具备3年以上与其拟任职务相关的证券、基金、金融、法律、会计、信息技术等工作经历； 

 （四）具有与拟任职务相适应的管理经历和经营管理能力； 

 （五）拟任证券基金经营机构高级管理人员的，曾担任证券基金经营机构部门负责人以上职务不少于2年，或者曾担任金融机构部门负责人以上职务不少于4年，或者具有相当职位管理经历； 

 （六）法律法规、中国证监会规定的其他条件。

拟任证券基金经营机构董事长、高级管理人员以及其他从事业务管理工作的人员，还应当符合证券基金从业人员条件。

拟任证券基金经营机构合规负责人、风控负责人、信息技术负责人的，还应当符合中国证监会规定的其他条件。","拟任证券公司高管的人员需要符合以下条件：
1. 正直诚实，品行良好；
2. 熟悉证券基金法律法规和中国证监会的规定；
3. 具备3年以上与其拟任职务相关的证券、基金、金融、法律、会计、信息技术等工作经历；
4. 具有与拟任职务相适应的管理经历和经营管理能力；
5. 拟任证券基金经营机构高级管理人员的，曾担任证券基金经营机构部门负责人以上职务不少于2年，或者曾担任金融机构部门负责人以上职务不少于4年，或者具有相当职位管理经历；
6. 法律法规、中国证监会规定的其他条件。","拟任证券基金经营机构董事长、副董事长、监事会主席、高级管理人员的人员，可以参加行业协会组织的水平评价测试，作为证明其熟悉证券基金法律法规的参考；上述人员不参加行业协会组织的水平评价测试的，应当符合下列条件之一：
（一）具备10年以上与其拟任职务相关的证券、基金、金融、法律、会计、信息技术等境内工作经历，且从未被金融监管部门采取行政处罚或者行政监管措施，拟任高级管理人员的，还应当担任证券基金经营机构部门负责人以上职务不少于5年，或者具有相当职位管理经历；
（二）中国证监会和行业协会规定的其他条件。","拟任证券基金经营机构董事、监事和高级管理人员的人员，应当符合下列基本条件：（一）正直诚实，品行良好；
（二）熟悉证券基金法律法规和中国证监会的规定；
（三）具备3年以上与其拟任职务相关的证券、基金、金融、法律、会计、信息技术等工作经历；
（四）具有与拟任职务相适应的管理经历和经营管理能力；
（五）拟任证券基金经营机构高级管理人员的，曾担任证券基金经营机构部门负责人以上职务不少于2年，或者曾担任金融机构部门负责人以上职务不少于4年，或者具有相当职位管理经历；
（六）法律法规、中国证监会规定的其他条件。",0.8229750561441028,0.814916892309748
52,什么情况下不能担任券商高管？,"有下列情形之一的，不得担任证券基金经营机构董事、监事和高级管理人员： 

 （一）存在《公司法》第一百四十六条、《证券法》第一百二十四条第二款、第一百二十五条第二款和第三款，以及《证券投资基金法》第十五条规定的情形； 

 （二）因犯有危害国家安全、恐怖主义、贪污、贿赂、侵占财产、挪用财产、黑社会性质犯罪或者破坏社会经济秩序罪被判处刑罚，或者因犯罪被剥夺政治权利； 

 （三）因重大违法违规行为受到金融监管部门的行政处罚或者被中国证监会采取证券市场禁入措施，执行期满未逾5年； 

 （四）最近5年被中国证监会撤销基金从业资格或者被基金业协会取消基金从业资格； 

 （五）担任被接管、撤销、宣告破产或吊销营业执照机构的法定代表人和经营管理的主要负责人，自该公司被接管、撤销、宣告破产或吊销营业执照之日起未逾5年，但能够证明本人对该公司被接管、撤销、宣告破产或吊销营业执照不负有个人责任的除外； 

 （六）被中国证监会认定为不适当人选或者被行业协会采取不适合从事相关业务的纪律处分，期限尚未届满； 

 （七）因涉嫌违法犯罪被行政机关立案调查或者被司法机关立案侦查，尚未形成最终处理意见； 

 （八）中国证监会依法认定的其他情形。","不能担任券商高管的情况包括：
1. 因违法行为或违纪行为被解除职务的证券交易场所、证券登记结算机构的负责人或证券公司的董事、监事、高级管理人员，自被解除职务之日起未逾五年；
2. 因违法行为或违纪行为被吊销执业证书或被取消资格的律师、注册会计师或其他证券服务机构的专业人员，自被吊销执业证书或被取消资格之日起未逾五年；
3. 存在《公司法》第一百四十六条、《证券法》第一百二十四条第二款、第一百二十五条第二款和第三款，以及《证券投资基金法》第十五条规定的情形；
4. 因犯有危害国家安全、恐怖主义、贪污、贿赂、侵占财产、挪用财产、黑社会性质犯罪或破坏社会经济秩序罪被判处刑罚，或因犯罪被剥夺政治权利；
5. 因重大违法违规行为受到金融监管部门的行政处罚或被中国证监会采取证券市场禁入措施，执行期满未逾5年；
6. 最近5年被中国证监会撤销基金从业资格或被基金业协会取消基金从业资格；
7. 担任被接管、撤销、宣告破产或吊销营业执照机构的法定代表人和经营管理的主要负责人，自该公司被接管、撤销、宣告破产或吊销营业执照之日起未逾5年，但能够证明本人对该公司被接管、撤销、宣告破产或吊销营业执照不负有个人责任的除外；
8. 被中国证监会认定为不适当人选或被行业协会采取不适合从事相关业务的纪律处分，期限尚未届满；
9. 因涉嫌违法犯罪被行政机关立案调查或被司法机关立案侦查，尚未形成最终处理意见；
10. 中国证监会依法认定的其他情形。","有《中华人民共和国公司法》第一百四十六条规定的情形或者下列情形之一的，不得担任证券公司的董事、监事、高级管理人员：
（一）因违法行为或者违纪行为被解除职务的证券交易场所、证券登记结算机构的负责人或者证券公司的董事、监事、高级管理人员，自被解除职务之日起未逾五年；（二）因违法行为或者违纪行为被吊销执业证书或者被取消资格的律师、注册会计师或者其他证券服务机构的专业人员，自被吊销执业证书或者被取消资格之日起未逾五年。","有下列情形之一的，不得担任证券基金经营机构董事、监事和高级管理人员：
（一）存在《公司法》第一百四十六条、《证券法》第一百二十四条第二款、第一百二十五条第二款和第三款，以及《证券投资基金法》第十五条规定的情形；
（二）因犯有危害国家安全、恐怖主义、贪污、贿赂、侵占财产、挪用财产、黑社会性质犯罪或者破坏社会经济秩序罪被判处刑罚，或者因犯罪被剥夺政治权利；（三）因重大违法违规行为受到金融监管部门的行政处罚或者被中国证监会采取证券市场禁入措施，执行期满未逾5年；
（四）最近5年被中国证监会撤销基金从业资格或者被基金业协会取消基金从业资格；
（五）担任被接管、撤销、宣告破产或吊销营业执照机构的法定代表人和经营管理的主要负责人，自该公司被接管、撤销、宣告破产或吊销营业执照之日起未逾5年，但能够证明本人对该公司被接管、撤销、宣告破产或吊销营业执照不负有个人责任的除外；
（六）被中国证监会认定为不适当人选或者被行业协会采取不适合从事相关业务的纪律处分，期限尚未届满；
（七）因涉嫌违法犯罪被行政机关立案调查或者被司法机关立案侦查，尚未形成最终处理意见；
（八）中国证监会依法认定的其他情形。",0.8039297429690251,0.7820052666455161
53,担任被宣告破产的公司的法人可以担任券商高管吗？,"分情况。
有下列情形之一的，不得担任证券基金经营机构董事、监事和高级管理人员： 
担任被接管、撤销、宣告破产或吊销营业执照机构的法定代表人和经营管理的主要负责人，自该公司被接管、撤销、宣告破产或吊销营业执照之日起未逾5年，但能够证明本人对该公司被接管、撤销、宣告破产或吊销营业执照不负有个人责任的除外；","No, a legal person who has been declared bankrupt cannot serve as a senior executive in a securities company.","有《中华人民共和国公司法》第一百四十六条规定的情形或者下列情形之一的，不得担任证券公司的董事、监事、高级管理人员：
（一）因违法行为或者违纪行为被解除职务的证券交易场所、证券登记结算机构的负责人或者证券公司的董事、监事、高级管理人员，自被解除职务之日起未逾五年；（二）因违法行为或者违纪行为被吊销执业证书或者被取消资格的律师、注册会计师或者其他证券服务机构的专业人员，自被吊销执业证书或者被取消资格之日起未逾五年。","证券公司从事证券业务的人员应当品行良好，具备从事证券业务所需的专业能力。
因违法行为或者违纪行为被开除的证券交易场所、证券公司、证券登记结算机构、证券服务机构的从业人员和被开除的国家机关工作人员，不得招聘为证券公司的从业人员。
国家机关工作人员和法律、行政法规规定的禁止在公司中兼职的其他人员，不得在证券公司中兼任职务。",0.7621100229907496,0.7484069129332
54,3年前被证监会采取证券市场禁入措施的人可以担任高管吗？,"不可以。
有下列情形之一的，不得担任证券基金经营机构董事、监事和高级管理人员： 
因重大违法违规行为受到金融监管部门的行政处罚或者被中国证监会采取证券市场禁入措施，执行期满未逾5年；","No, a person who was subject to securities market access restrictions by the China Securities Regulatory Commission (CSRC) three years ago cannot hold a senior management position.","有《中华人民共和国公司法》第一百四十六条规定的情形或者下列情形之一的，不得担任证券公司的董事、监事、高级管理人员：
（一）因违法行为或者违纪行为被解除职务的证券交易场所、证券登记结算机构的负责人或者证券公司的董事、监事、高级管理人员，自被解除职务之日起未逾五年；（二）因违法行为或者违纪行为被吊销执业证书或者被取消资格的律师、注册会计师或者其他证券服务机构的专业人员，自被吊销执业证书或者被取消资格之日起未逾五年。","违反法律、行政法规或者国务院证券监督管理机构的有关规定，情节严重的，国务院证券监督管理机构可以对有关责任人员采取证券市场禁入的措施。
前款所称证券市场禁入，是指在一定期限内直至终身不得从事证券业务、证券服务业务，不得担任证券发行人的董事、监事、高级管理人员，或者一定期限内不得在证券交易所、国务院批准的其他全国性证券交易场所交易证券的制度。",0.7923597284115383,0.78277612509981
55,券商聘任高管时需要向监管机构报送哪些信息？,"证券基金经营机构聘任董事、监事和高级管理人员前，应当审慎考察并确认其符合相应的任职条件，自作出聘任决定之日起5个工作日内向中国证监会相关派出机构报送下列备案材料： 

 （一）任职情况备案登记表； 

 （二）聘任决定文件及相关会议决议； 

 （三）聘任单位对受聘人的考察意见、提名人的书面承诺和提名意见； 

 （四）身份、相关工作经历、诚信状况等证明其符合任职条件的文件； 

 （五）受聘人签署的诚信经营承诺书； 

 （六）最近3年曾任职单位出具的离任审计报告、离任审查报告、鉴定意见或者聘任单位委托第三方机构对受聘人出具的任职调查报告； 

 （七）中国证监会要求提交的其他材料。

证券基金经营机构应当在考察意见中对受聘人符合任职条件的情况作出说明。

曾在证券基金经营机构担任董事、监事和高级管理人员的，除补充和更新材料外，可不重复报送本条第一款第（四）项规定的备案材料。","券商在聘任高管时需要向监管机构报送以下信息：
1. 任职情况备案登记表
2. 聘任决定文件及相关会议决议
3. 聘任单位对受聘人的考察意见、提名人的书面承诺和提名意见
4. 身份、相关工作经历、诚信状况等证明其符合任职条件的文件
5. 受聘人签署的诚信经营承诺书
6. 最近3年曾任职单位出具的离任审计报告、离任审查报告、鉴定意见或者聘任单位委托第三方机构对受聘人出具的任职调查报告
7. 其他中国证监会要求提交的材料","证券基金经营机构聘任董事、监事和高级管理人员前，应当审慎考察并确认其符合相应的任职条件，自作出聘任决定之日起5个工作日内向中国证监会相关派出机构报送下列备案材料：
（一）任职情况备案登记表；
（二）聘任决定文件及相关会议决议；
（三）聘任单位对受聘人的考察意见、提名人的书面承诺和提名意见；
（四）身份、相关工作经历、诚信状况等证明其符合任职条件的文件；
（五）受聘人签署的诚信经营承诺书；
（六）最近3年曾任职单位出具的离任审计报告、离任审查报告、鉴定意见或者聘任单位委托第三方机构对受聘人出具的任职调查报告；
（七）中国证监会要求提交的其他材料。","证券基金经营机构应当在考察意见中对受聘人符合任职条件的情况作出说明。
曾在证券基金经营机构担任董事、监事和高级管理人员的，除补充和更新材料外，可不重复报送本条第一款第（四）项规定的备案材料。",0.7379146661430489,0.722971950044647
56,券商聘任独立董事时需要向监管机构报送哪些材料？,证券基金经营机构聘任独立董事的，应当要求拟任人提供关于独立性的声明，并作为备案材料向中国证监会相关派出机构报送。声明应当重点说明拟任人是否存在本办法第九条所列举的情形。,"券商聘任独立董事时需要向监管机构报送以下材料：
1. 关于独立性的声明；
2. 任职情况备案登记表；
3. 聘任决定文件及相关会议决议；
4. 聘任单位对受聘人的考察意见、提名人的书面承诺和提名意见；
5. 身份、相关工作经历、诚信状况等证明其符合任职条件的文件；
6. 受聘人签署的诚信经营承诺书；
7. 最近3年曾任职单位出具的离任审计报告、离任审查报告、鉴定意见或者聘任单位委托第三方机构对受聘人出具的任职调查报告；
8. 其他中国证监会要求提交的材料。",证券基金经营机构聘任独立董事的，应当要求拟任人提供关于独立性的声明，并作为备案材料向中国证监会相关派出机构报送。声明应当重点说明拟任人是否存在本办法第九条所列举的情形。,"证券基金经营机构聘任董事、监事和高级管理人员前，应当审慎考察并确认其符合相应的任职条件，自作出聘任决定之日起5个工作日内向中国证监会相关派出机构报送下列备案材料：
（一）任职情况备案登记表；
（二）聘任决定文件及相关会议决议；
（三）聘任单位对受聘人的考察意见、提名人的书面承诺和提名意见；
（四）身份、相关工作经历、诚信状况等证明其符合任职条件的文件；
（五）受聘人签署的诚信经营承诺书；
（六）最近3年曾任职单位出具的离任审计报告、离任审查报告、鉴定意见或者聘任单位委托第三方机构对受聘人出具的任职调查报告；
（七）中国证监会要求提交的其他材料。",0.7514267009276028,0.7493972621100372
57,对证券从业人员有哪些要求？,"证券基金经营机构从业人员应当持续符合下列条件： 

 （一）品行良好； 

 （二）具备从事证券基金业务所需的专业能力，掌握证券基金业务相关的专业知识； 

 （三）最近3年未因犯罪被判处刑罚； 

 （四）不存在《证券法》第一百二十五条第二款和第三款，以及《证券投资基金法》第十五条规定的情形； 

 （五）最近5年未被中国证监会撤销基金从业资格或者被基金业协会取消基金从业资格； 

 （六）未被中国证监会采取证券市场禁入措施，或者执行期已经届满； 

 （七）法律法规、中国证监会和行业协会规定的其他条件。",证券从业人员应当具备品行良好和从事证券业务所需的专业能力。被开除的证券交易场所、证券公司、证券登记结算机构、证券服务机构的从业人员和被开除的国家机关工作人员不得招聘为证券公司的从业人员。国家机关工作人员和法律、行政法规规定的禁止在公司中兼职的其他人员不得在证券公司中兼任职务。此外，证券公司应当按照协会的规定，组织对证券经纪人的后续职业培训。,"证券公司从事证券业务的人员应当品行良好，具备从事证券业务所需的专业能力。
因违法行为或者违纪行为被开除的证券交易场所、证券公司、证券登记结算机构、证券服务机构的从业人员和被开除的国家机关工作人员，不得招聘为证券公司的从业人员。
国家机关工作人员和法律、行政法规规定的禁止在公司中兼职的其他人员，不得在证券公司中兼任职务。",证券公司应当按照协会的规定，组织对证券经纪人的后续职业培训。,0.7333194175198208,0.7261587774326127
58,券商在员工入职后多久需要向协会登记？,"5个工作日。
证券公司应当自证券从业人员从事业务之日起5个工作日内，向证券业协会提交证明其符合条件的材料和登记信息并办理登记。证券业协会应当自登记信息完备之日起5个工作日内办结登记。登记信息不完备或者不符合规定的，证券公司及其从业人员应当按照要求及时补正。",券商在员工入职后需要进行执业前培训并经测试合格后，才需要向协会进行登记。,证券公司应当在与证券经纪人签订委托合同、对其进行执业前培训并经测试合格后，为其向中国证券业协会（以下简称协会）进行登记。登记事项包括证券经纪人的姓名、身份证号码、代理权限、代理期间、服务的证券营业部、执业地域范围和公司查询与投诉电话等。,"证券业协会是证券业的自律性组织，是社会团体法人。
证券公司应当加入证券业协会。
证券业协会的权力机构为全体会员组成的会员大会。",0.6733154202920677,0.6635267024059787
